StudyHours,Attendance,SleepHours,PastScore,Participation,FinalScore
4.245071229516849,73,6,95,1,64
3.292603548243223,73,6,78,1,57
4.471532807151039,53,5,60,1,49
5.784544784612038,75,5,75,1,61
3.148769937914996,90,7,95,0,64
3.148794564576229,60,5,95,1,57
5.868819223261087,95,6,61,0,60
4.651152093729364,87,7,73,1,63
2.795788421097572,68,6,48,1,45
4.3138400653789475,77,7,82,1,63
2.8048734607813066,100,7,93,0,65
2.801405369644615,91,6,70,1,57
3.862943407349051,80,7,59,1,55
1.0,76,7,75,0,50
1.0,81,6,76,1,52
2.656568706138541,72,6,71,0,51
1.9807533194983642,48,7,72,1,48
3.971370998892911,100,8,67,1,64
2.1379638867181834,82,7,84,1,59
1.3815444479970629,85,6,81,1,55
5.698473153382331,79,7,55,0,57
3.1613355492701967,68,7,54,0,48
3.6012923070318856,77,7,66,1,56
1.3628777206798146,56,7,81,0,49
2.683425913212226,100,7,72,1,60
3.666383884564799,61,8,60,1,53
1.7735096338665457,64,7,73,1,51
4.063547027518508,73,7,65,1,56
2.5990419651217924,99,6,83,1,62
3.062459375310085,80,8,74,1,59
2.597440081655905,61,8,65,1,52
6.278417276763406,98,6,73,0,66
3.4797541628930992,90,7,89,0,63
1.9134336065661495,88,6,61,1,51
4.733817368154783,90,7,76,1,65
1.6687345250434666,100,7,68,1,57
3.813295392507133,100,6,76,0,61
1.0,69,8,60,1,48
1.5077209266523544,100,6,71,1,56
3.7952918538036853,85,7,86,0,62
4.607699869993116,87,7,55,1,57
3.7570524217849557,54,6,50,1,46
3.3265275764176394,77,6,50,1,49
3.048344456616067,67,6,52,1,47
1.2822170144488592,92,7,78,0,55
2.4202336874079373,96,7,48,1,52
2.8090418435603186,48,6,65,1,47
5.085683339328374,79,6,79,1,63
4.015427434352692,96,5,76,1,61
1.0,77,7,64,1,49
3.9861259540921923,90,7,72,1,62
2.922376579375525,85,5,71,1,55
2.484616999541062,85,7,66,1,55
4.417514433261302,75,5,66,1,55
5.046499283743927,61,8,95,1,67
4.896920178674298,63,8,82,0,61
2.2411737151660422,90,7,95,1,64
3.036181436223178,80,8,62,0,54
3.996895147105346,77,8,68,1,59
4.963317690683539,73,8,50,0,54
2.781238643232065,75,7,57,1,51
3.2215115350042742,95,6,95,1,66
1.8404975389909577,74,6,62,1,49
1.7056900638789938,59,6,95,1,55
4.718788733591297,91,7,51,0,55
5.5343600428562345,76,6,54,1,56
3.391984817629499,80,6,64,1,54
5.0052993468380365,100,7,69,0,63
4.042454037571451,79,6,83,1,61
2.5323203680923134,84,7,76,1,58
4.0420934082626205,62,8,63,1,55
5.807054849698954,76,7,68,1,62
3.4462609413350727,89,7,65,0,56
5.846965483721009,56,7,56,1,55
1.0,83,7,56,1,48
4.732853756562836,81,6,85,1,64
3.630570602357257,80,8,42,1,51
3.051488974301199,95,6,94,1,65
3.6376411648032536,85,5,64,1,54
1.0,100,7,58,1,52
3.170492168243732,65,6,81,0,54
4.03566885726762,82,6,92,1,65
5.716841067112274,81,5,86,1,65
2.722594672589529,63,6,77,1,53
2.2872595956602186,94,6,86,0,59
2.7473644346231954,100,5,44,1,49
4.873103176553111,79,7,62,0,57
3.9931266644895267,87,8,56,0,56
2.7053596943494416,81,6,88,0,58
4.269901149670034,69,8,64,1,57
3.6456163240220607,52,6,82,1,55
4.952967485799334,69,6,78,1,60
2.4469203591839714,59,6,57,0,44
3.008506780103348,100,7,61,0,56
2.9118377703017635,78,7,89,0,60
1.3047275778018221,74,7,58,1,47
3.944180415596864,93,7,71,1,62
3.891582908269834,63,7,58,1,52
3.5076701849636915,68,7,65,1,54
3.14811929993728,81,8,69,1,58
1.3769438869243786,95,6,58,1,50
2.8690320158519613,87,6,55,0,50
2.985928225209846,83,7,74,1,58
2.296584096167572,81,7,57,0,49
3.2580714325009863,86,6,57,0,51
4.106076285221808,83,6,55,1,54
6.329278851815795,64,7,68,1,61
3.7618667192477586,80,7,84,1,63
3.886325586084147,63,6,92,1,60
3.3883311263507494,81,8,59,1,56
1.0,72,7,95,1,57
3.4602291868261745,100,7,54,0,55
3.5903453149115396,79,7,86,1,63
7.0,58,8,59,1,60
3.2114585528283164,77,6,56,0,49
3.9523210135004185,87,6,58,1,55
3.447932345442135,100,7,69,1,61
1.746982943570702,71,7,78,0,52
5.21423422177253,56,5,80,1,57
4.627899549030161,92,8,55,1,60
4.68654792056457,59,7,55,0,50
2.135918817807892,73,6,56,1,47
5.604191466404149,76,6,68,1,60
1.3972234058115784,78,6,66,1,49
4.380285640700405,90,7,55,1,57
6.785683438714968,69,8,74,0,64
2.014195512303967,75,7,95,0,59
2.650553405595842,79,8,62,1,55
3.649477047631462,82,8,63,0,56
2.744786518825701,81,7,78,0,56
1.1740048534008007,86,7,61,1,50
3.602844462209041,92,7,80,1,63
1.9065444294108427,85,7,59,1,51
4.210388645952772,86,5,95,1,65
2.120863648649295,56,7,75,1,51
5.824901607526309,80,5,60,1,58
2.325120061495644,87,8,61,1,55
3.0169077256914867,90,8,62,0,56
4.720275826054505,69,6,90,0,61
